episode:213, score:6.427320959999999, epsilon:0.9902215000003219, global step:30864, avg_qmax:0.06549636101069516, memory:20000
episode:214, score:30.650799359999986, epsilon:0.9900109000003289, global step:31098, avg_qmax:0.066701216241106, memory:20000
episode:215, score:6.596592000000003, epsilon:0.9898804000003332, global step:31243, avg_qmax:0.06130705491222184, memory:20000
episode:216, score:6.1983071999999995, epsilon:0.9897544000003373, global step:31383, avg_qmax:0.0614288646195616, memory:20000
episode:217, score:6.412385280000003, epsilon:0.9896284000003415, global step:31523, avg_qmax:0.06296498432223285, memory:20000
episode:218, score:4.774439039999999, epsilon:0.9895285000003448, global step:31634, avg_qmax:0.05429009210553255, memory:20000
episode:219, score:4.407685120000001, epsilon:0.9894376000003478, global step:31735, avg_qmax:0.061133399089374166, memory:20000
episode:220, score:4.805969920000001, epsilon:0.9893368000003511, global step:31847, avg_qmax:0.056122436321207454, memory:20000
episode:221, score:4.706398719999999, epsilon:0.9892387000003543, global step:31956, avg_qmax:0.05927088784925435, memory:20000
episode:222, score:6.168435840000001, epsilon:0.9891217000003582, global step:32086, avg_qmax:0.06694513997779443, memory:20000
episode:223, score:7.054619520000001, epsilon:0.9889885000003625, global step:32234, avg_qmax:0.062297584035912075, memory:20000
episode:224, score:5.325399680000001, epsilon:0.9888769000003662, global step:32358, avg_qmax:0.06474430850076099, memory:20000
episode:225, score:5.227488000000003, epsilon:0.9887644000003699, global step:32483, avg_qmax:0.061801084637641904, memory:20000
episode:226, score:7.723406080000002, epsilon:0.9886060000003751, global step:32659, avg_qmax:0.06808471199209717, memory:20000
episode:227, score:4.839160320000001, epsilon:0.9885088000003783, global step:32767, avg_qmax:0.06488121697610175, memory:20000
episode:228, score:7.6420896, epsilon:0.988365700000383, global step:32926, avg_qmax:0.05976292786170852, memory:20000
episode:229, score:6.596592000000001, epsilon:0.9882370000003873, global step:33069, avg_qmax:0.06074442117885276, memory:20000
episode:230, score:3.9347219200000003, epsilon:0.9881605000003898, global step:33154, avg_qmax:0.06732838666614364, memory:20000
episode:231, score:5.469777920000002, epsilon:0.9880570000003932, global step:33269, avg_qmax:0.06069763318999954, memory:20000
episode:232, score:6.128607360000002, epsilon:0.9879274000003975, global step:33413, avg_qmax:0.05895714355736143, memory:20000
episode:233, score:4.565339520000002, epsilon:0.9878338000004006, global step:33517, avg_qmax:0.06300502639407149, memory:20000
episode:234, score:29.955460479999992, epsilon:0.9876511000004066, global step:33720, avg_qmax:0.06517640271870961, memory:20000
episode:235, score:8.252792960000004, epsilon:0.9874720000004125, global step:33919, avg_qmax:0.0649362356032259, memory:20000
episode:236, score:29.4426688, epsilon:0.9872884000004185, global step:34123, avg_qmax:0.06523200383811605, memory:20000
episode:237, score:7.715108480000001, epsilon:0.9871354000004235, global step:34293, avg_qmax:0.06333386188044268, memory:20000
episode:238, score:6.3559616000000005, epsilon:0.9870112000004276, global step:34431, avg_qmax:0.060810838866492974, memory:20000
episode:239, score:27.519285119999996, epsilon:0.9868744000004321, global step:34583, avg_qmax:0.061060783575828136, memory:20000
episode:240, score:7.0695552, epsilon:0.9867385000004366, global step:34734, avg_qmax:0.06315828038268531, memory:20000
episode:241, score:30.103157759999995, epsilon:0.9865540000004427, global step:34939, avg_qmax:0.06310325457555492, memory:20000
episode:242, score:4.63337984, epsilon:0.9864595000004458, global step:35044, avg_qmax:0.06465908519568897, memory:20000
episode:243, score:7.384864000000002, epsilon:0.9863128000004506, global step:35207, avg_qmax:0.06251550346978603, memory:20000
episode:244, score:5.32539968, epsilon:0.9862075000004541, global step:35324, avg_qmax:0.06282012903282785, memory:20000
episode:245, score:4.751205759999999, epsilon:0.9860941000004578, global step:35450, avg_qmax:0.06304694446069854, memory:20000
episode:246, score:6.01410048, epsilon:0.985968100000462, global step:35590, avg_qmax:0.06482967928584132, memory:20000
episode:247, score:4.20190464, epsilon:0.9858790000004649, global step:35689, avg_qmax:0.06321101835129236, memory:20000
episode:248, score:4.075781120000001, epsilon:0.985785400000468, global step:35793, avg_qmax:0.0640702644148125, memory:20000
episode:249, score:6.775820160000002, epsilon:0.9856585000004722, global step:35934, avg_qmax:0.0644547202168627, memory:20000
episode:250, score:6.39910912, epsilon:0.9855361000004762, global step:36070, avg_qmax:0.06350377013030298, memory:20000
episode:251, score:6.643058560000003, epsilon:0.9853948000004809, global step:36227, avg_qmax:0.06087414955921993, memory:20000
episode:252, score:5.491351680000003, epsilon:0.9852868000004844, global step:36347, avg_qmax:0.06488045292596022, memory:20000
episode:253, score:7.2753356799999995, epsilon:0.9851419000004892, global step:36508, avg_qmax:0.06482446589362548, memory:20000
episode:254, score:6.896965120000001, epsilon:0.9850024000004938, global step:36663, avg_qmax:0.07406083148333334, memory:20000
episode:255, score:5.491351680000002, epsilon:0.9848971000004972, global step:36780, avg_qmax:0.05829039512154383, memory:20000
episode:256, score:8.264409600000004, epsilon:0.984723400000503, global step:36973, avg_qmax:0.06924313980449048, memory:20000
